date,co2
1958/3/29,316.1
1958/4/5,317.3
1958/4/12,317.6
1958/4/19,317.5
1958/4/26,316.4
1958/5/3,316.9
1958/5/10,
1958/5/17,317.5
1958/5/24,317.9
1958/5/31,
1958/6/7,
1958/6/14,
1958/6/21,
1958/6/28,
1958/7/5,315.8
1958/7/12,315.8
1958/7/19,315.4
1958/7/26,315.5
1958/8/2,315.6
1958/8/9,315.1
1958/8/16,315
1958/8/23,
1958/8/30,314.1
1958/9/6,313.5
1958/9/13,
1958/9/20,
1958/9/27,
1958/10/4,
1958/10/11,
1958/10/18,
1958/10/25,
1958/11/1,
1958/11/8,313
1958/11/15,313.2
1958/11/22,313.5
1958/11/29,314
1958/12/6,314.5
1958/12/13,314.4
1958/12/20,314.7
1958/12/27,315.2
1959/1/3,315.2
1959/1/10,315.5
1959/1/17,315.6
1959/1/24,315.8
1959/1/31,315.4
1959/2/7,
1959/2/14,316.9
1959/2/21,316.6
1959/2/28,316.6
1959/3/7,316.8
1959/3/14,
1959/3/21,316.7
1959/3/28,316.7
1959/4/4,317.7
1959/4/11,317.1
1959/4/18,317.6
1959/4/25,318.3
1959/5/2,318.2
1959/5/9,318.7
1959/5/16,318
1959/5/23,318.4
1959/5/30,
1959/6/6,318.5
1959/6/13,318.1
1959/6/20,317.8
1959/6/27,317.7
1959/7/4,316.8
1959/7/11,316.8
1959/7/18,316.4
1959/7/25,316.1
1959/8/1,315.6
1959/8/8,314.9
1959/8/15,
1959/8/22,315
1959/8/29,314.1
1959/9/5,314.4
1959/9/12,313.9
1959/9/19,313.5
1959/9/26,313.5
1959/10/3,313
1959/10/10,313.1
1959/10/17,313.4
1959/10/24,313.4
1959/10/31,314.1
1959/11/7,314.4
1959/11/14,314.8
1959/11/21,315.2
1959/11/28,315.1
1959/12/5,315
1959/12/12,315.6
1959/12/19,315.8
1959/12/26,315.7
1960/1/2,315.7
1960/1/9,316.4
1960/1/16,316.7
1960/1/23,316.5
1960/1/30,316.6
1960/2/6,316.6
1960/2/13,316.9
1960/2/20,317.4
1960/2/27,317
1960/3/5,316.9
1960/3/12,317.7
1960/3/19,318
1960/3/26,317.7
1960/4/2,318.6
1960/4/9,319.3
1960/4/16,319
1960/4/23,319
1960/4/30,319.7
1960/5/7,319.9
1960/5/14,319.8
1960/5/21,320
1960/5/28,320
1960/6/4,319.4
1960/6/11,320
1960/6/18,319.4
1960/6/25,319
1960/7/2,318.1
1960/7/9,318.6
1960/7/16,318.4
1960/7/23,317.9
1960/7/30,317.3
1960/8/6,316.6
1960/8/13,316.7
1960/8/20,315.1
1960/8/27,314.7
1960/9/3,314.7
1960/9/10,314.5
1960/9/17,314.2
1960/9/24,313.3
1960/10/1,313.6
1960/10/8,313.3
1960/10/15,313.9
1960/10/22,314.2
1960/10/29,314.2
1960/11/5,314.5
1960/11/12,315.1
1960/11/19,315.1
1960/11/26,315.4
1960/12/3,315.8
1960/12/10,316
1960/12/17,316.2
1960/12/24,316.4
1960/12/31,316.6
1961/1/7,316.7
1961/1/14,317
1961/1/21,317
1961/1/28,317
1961/2/4,317
1961/2/11,317.7
1961/2/18,317.9
1961/2/25,318
1961/3/4,318
1961/3/11,318.5
1961/3/18,318.9
1961/3/25,318.7
1961/4/1,319.4
1961/4/8,319.5
1961/4/15,318.9
1961/4/22,319.7
1961/4/29,319.6
1961/5/6,320.6
1961/5/13,320.4
1961/5/20,320.6
1961/5/27,320.3
1961/6/3,320
1961/6/10,320
1961/6/17,319.6
1961/6/24,319.4
1961/7/1,319.2
1961/7/8,319
1961/7/15,318.4
1961/7/22,317.1
1961/7/29,317.9
1961/8/5,317.9
1961/8/12,317.3
1961/8/19,316.7
1961/8/26,315.2
1961/9/2,315.2
1961/9/9,314.9
1961/9/16,314.5
1961/9/23,315
1961/9/30,315.6
1961/10/7,314.9
1961/10/14,315.4
1961/10/21,315.4
1961/10/28,315.7
1961/11/4,315.8
1961/11/11,315.7
1961/11/18,316.2
1961/11/25,316.5
1961/12/2,316.5
1961/12/9,317
1961/12/16,316.9
1961/12/23,317.1
1961/12/30,317.4
1962/1/6,317.9
1962/1/13,318.1
1962/1/20,318
1962/1/27,317.7
1962/2/3,318
1962/2/10,318.3
1962/2/17,318.9
1962/2/24,319.3
1962/3/3,319.2
1962/3/10,319.4
1962/3/17,319.9
1962/3/24,319.7
1962/3/31,320.2
1962/4/7,320.2
1962/4/14,321
1962/4/21,320.7
1962/4/28,320.3
1962/5/5,320.8
1962/5/12,320.7
1962/5/19,321
1962/5/26,321.1
1962/6/2,320.9
1962/6/9,320.8
1962/6/16,320.5
1962/6/23,320.1
1962/6/30,320.2
1962/7/7,320.1
1962/7/14,319.9
1962/7/21,319
1962/7/28,318.7
1962/8/4,318.6
1962/8/11,317.2
1962/8/18,317.4
1962/8/25,
1962/9/1,
1962/9/8,
1962/9/15,316.6
1962/9/22,315.7
1962/9/29,315.9
1962/10/6,315.1
1962/10/13,315.4
1962/10/20,315.7
1962/10/27,315.7
1962/11/3,315.9
1962/11/10,316.4
1962/11/17,316.9
1962/11/24,317
1962/12/1,317.1
1962/12/8,317.3
1962/12/15,317.6
1962/12/22,318.1
1962/12/29,
1963/1/5,318.5
1963/1/12,318.7
1963/1/19,318.9
1963/1/26,318.8
1963/2/2,318.7
1963/2/9,318.9
1963/2/16,
1963/2/23,319.3
1963/3/2,319.3
1963/3/9,319.7
1963/3/16,319.8
1963/3/23,320.3
1963/3/30,320.2
1963/4/6,320.3
1963/4/13,320.9
1963/4/20,322
1963/4/27,321.9
1963/5/4,
1963/5/11,321.9
1963/5/18,322.2
1963/5/25,322.2
1963/6/1,322.3
1963/6/8,322
1963/6/15,321.8
1963/6/22,320.8
1963/6/29,320.4
1963/7/6,320.1
1963/7/13,319.8
1963/7/20,319.5
1963/7/27,319
1963/8/3,318.6
1963/8/10,318.2
1963/8/17,317.7
1963/8/24,317.1
1963/8/31,316.4
1963/9/7,316.8
1963/9/14,315.9
1963/9/21,316
1963/9/28,315.9
1963/10/5,316.2
1963/10/12,315.6
1963/10/19,316.1
1963/10/26,316.3
1963/11/2,316.6
1963/11/9,316.8
1963/11/16,317.1
1963/11/23,
1963/11/30,317.5
1963/12/7,318
1963/12/14,318.2
1963/12/21,318.5
1963/12/28,318.7
1964/1/4,319
1964/1/11,319.4
1964/1/18,319.8
1964/1/25,
1964/2/1,
1964/2/8,
1964/2/15,
1964/2/22,
1964/2/29,
1964/3/7,
1964/3/14,
1964/3/21,
1964/3/28,
1964/4/4,
1964/4/11,
1964/4/18,
1964/4/25,
1964/5/2,
1964/5/9,
1964/5/16,
1964/5/23,
1964/5/30,322
1964/6/6,322
1964/6/13,
1964/6/20,
1964/6/27,321.5
1964/7/4,321.1
1964/7/11,319.9
1964/7/18,320.2
1964/7/25,320
1964/8/1,319.1
1964/8/8,
1964/8/15,318.6
1964/8/22,318.2
1964/8/29,318.1
1964/9/5,317.4
1964/9/12,316.5
1964/9/19,315.5
1964/9/26,317
1964/10/3,316.9
1964/10/10,316.5
1964/10/17,316.8
1964/10/24,317
1964/10/31,317.6
1964/11/7,317.7
1964/11/14,317.6
1964/11/21,317.5
1964/11/28,318.1
1964/12/5,318.4
1964/12/12,318.5
1964/12/19,318.9
1964/12/26,318.9
1965/1/2,319
1965/1/9,319.1
1965/1/16,319.1
1965/1/23,319.7
1965/1/30,320.1
1965/2/6,320.2
1965/2/13,320.1
1965/2/20,320.7
1965/2/27,320.8
1965/3/6,321
1965/3/13,320.9
1965/3/20,320.4
1965/3/27,321.4
1965/4/3,321.9
1965/4/10,322.2
1965/4/17,322.1
1965/4/24,321.8
1965/5/1,322.4
1965/5/8,322.2
1965/5/15,321.9
1965/5/22,321.6
1965/5/29,322.2
1965/6/5,321.8
1965/6/12,321.7
1965/6/19,321.7
1965/6/26,321.9
1965/7/3,321.9
1965/7/10,321.8
1965/7/17,321.7
1965/7/24,320.4
1965/7/31,319.4
1965/8/7,319.4
1965/8/14,318
1965/8/21,318.8
1965/8/28,318.7
1965/9/4,318.3
1965/9/11,318
1965/9/18,318.2
1965/9/25,316.8
1965/10/2,316.6
1965/10/9,317.2
1965/10/16,317.8
1965/10/23,317.5
1965/10/30,317.6
1965/11/6,318.3
1965/11/13,319.2
1965/11/20,318.9
1965/11/27,319.1
1965/12/4,319
1965/12/11,319.3
1965/12/18,319.3
1965/12/25,319.7
1966/1/1,319.6
1966/1/8,320.4
1966/1/15,320.6
1966/1/22,321
1966/1/29,321.1
1966/2/5,321.2
1966/2/12,321.7
1966/2/19,321.6
1966/2/26,321.8
1966/3/5,322.1
1966/3/12,322.1
1966/3/19,322.5
1966/3/26,322.8
1966/4/2,323.5
1966/4/9,323.6
1966/4/16,323.8
1966/4/23,323.9
1966/4/30,323.5
1966/5/7,324
1966/5/14,324.1
1966/5/21,323.7
1966/5/28,324.3
1966/6/4,324
1966/6/11,323.8
1966/6/18,323.7
1966/6/25,323.3
1966/7/2,322.8
1966/7/9,322.9
1966/7/16,
1966/7/23,
1966/7/30,
1966/8/6,321.3
1966/8/13,320.8
1966/8/20,319.1
1966/8/27,319.6
1966/9/3,319.9
1966/9/10,318.2
1966/9/17,318.4
1966/9/24,318.3
1966/10/1,317.9
1966/10/8,317.9
1966/10/15,318.2
1966/10/22,318.6
1966/10/29,318.3
1966/11/5,
1966/11/12,319.5
1966/11/19,320
1966/11/26,320.2
1966/12/3,320.8
1966/12/10,320.8
1966/12/17,321.1
1966/12/24,321.3
1966/12/31,321.3
1967/1/7,321.9
1967/1/14,322.9
1967/1/21,
1967/1/28,
1967/2/4,322.1
1967/2/11,322.2
1967/2/18,322.8
1967/2/25,322.6
1967/3/4,322.9
1967/3/11,322.6
1967/3/18,323.3
1967/3/25,323.2
1967/4/1,323.1
1967/4/8,324.2
1967/4/15,324.4
1967/4/22,324.6
1967/4/29,325.1
1967/5/6,325.2
1967/5/13,324.7
1967/5/20,325
1967/5/27,324.9
1967/6/3,324.9
1967/6/10,324.6
1967/6/17,323.3
1967/6/24,323.5
1967/7/1,322.8
1967/7/8,322.8
1967/7/15,322.4
1967/7/22,322.4
1967/7/29,322
1967/8/5,321.6
1967/8/12,321.4
1967/8/19,320.4
1967/8/26,320
1967/9/2,320
1967/9/9,319.4
1967/9/16,319.3
1967/9/23,319
1967/9/30,318.8
1967/10/7,318.8
1967/10/14,319.8
1967/10/21,319.4
1967/10/28,319.8
1967/11/4,320
1967/11/11,320.3
1967/11/18,320.9
1967/11/25,321.5
1967/12/2,321.4
1967/12/9,321.8
1967/12/16,322.2
1967/12/23,321.9
1967/12/30,322.3
1968/1/6,322.4
1968/1/13,322.5
1968/1/20,322.5
1968/1/27,322.8
1968/2/3,322.6
1968/2/10,323.1
1968/2/17,323.4
1968/2/24,323.1
1968/3/2,323.1
1968/3/9,323.8
1968/3/16,323.8
1968/3/23,324.2
1968/3/30,324.7
1968/4/6,324.7
1968/4/13,325
1968/4/20,324.8
1968/4/27,325.4
1968/5/4,325.6
1968/5/11,325
1968/5/18,325.5
1968/5/25,325.8
1968/6/1,325.6
1968/6/8,325.7
1968/6/15,325.5
1968/6/22,324.9
1968/6/29,324.6
1968/7/6,324.7
1968/7/13,324.1
1968/7/20,323.9
1968/7/27,323.4
1968/8/3,322.4
1968/8/10,322.2
1968/8/17,322
1968/8/24,321.7
1968/8/31,321.4
1968/9/7,320.4
1968/9/14,321.1
1968/9/21,319.7
1968/9/28,319.8
1968/10/5,320.5
1968/10/12,320.5
1968/10/19,320.2
1968/10/26,319.9
1968/11/2,320.7
1968/11/9,320.8
1968/11/16,321.4
1968/11/23,321.7
1968/11/30,322
1968/12/7,322.4
1968/12/14,322.9
1968/12/21,323.3
1968/12/28,323.1
1969/1/4,323.3
1969/1/11,324
1969/1/18,324.3
1969/1/25,324.1
1969/2/1,324.1
1969/2/8,323.9
1969/2/15,324.3
1969/2/22,324.8
1969/3/1,325.1
1969/3/8,325.5
1969/3/15,325.7
1969/3/22,325.9
1969/3/29,325.8
1969/4/5,326.2
1969/4/12,327.1
1969/4/19,326.5
1969/4/26,326.5
1969/5/3,327.5
1969/5/10,327.8
1969/5/17,326.8
1969/5/24,326.9
1969/5/31,327.4
1969/6/7,326.5
1969/6/14,326.7
1969/6/21,326.7
1969/6/28,326.3
1969/7/5,326.1
1969/7/12,326
1969/7/19,325.7
1969/7/26,325.4
1969/8/2,324.5
1969/8/9,324.5
1969/8/16,323.1
1969/8/23,322.5
1969/8/30,323.1
1969/9/6,322.2
1969/9/13,322.7
1969/9/20,322.8
1969/9/27,321.9
1969/10/4,321.5
1969/10/11,321.8
1969/10/18,322
1969/10/25,321.9
1969/11/1,322.2
1969/11/8,322.6
1969/11/15,322.7
1969/11/22,323.1
1969/11/29,323.5
1969/12/6,323.9
1969/12/13,323.9
1969/12/20,324.2
1969/12/27,324.5
1970/1/3,324.7
1970/1/10,325.4
1970/1/17,325
1970/1/24,324.8
1970/1/31,325.5
1970/2/7,325.7
1970/2/14,326
1970/2/21,326.3
1970/2/28,326.1
1970/3/7,326.8
1970/3/14,326.8
1970/3/21,327.5
1970/3/28,326.9
1970/4/4,328.2
1970/4/11,327.8
1970/4/18,327.8
1970/4/25,328.5
1970/5/2,327.9
1970/5/9,327.5
1970/5/16,328
1970/5/23,328.3
1970/5/30,327.9
1970/6/6,327.5
1970/6/13,327.8
1970/6/20,327.7
1970/6/27,327.2
1970/7/4,327.2
1970/7/11,326.2
1970/7/18,326.2
1970/7/25,325.6
1970/8/1,325.2
1970/8/8,325.2
1970/8/15,324.8
1970/8/22,324.8
1970/8/29,323.3
1970/9/5,322.9
1970/9/12,323.5
1970/9/19,323.1
1970/9/26,323.1
1970/10/3,323.2
1970/10/10,323.5
1970/10/17,322.9
1970/10/24,323
1970/10/31,323.1
1970/11/7,323.6
1970/11/14,323.7
1970/11/21,324.2
1970/11/28,324.7
1970/12/5,324.7
1970/12/12,325
1970/12/19,325.2
1970/12/26,325.5
1971/1/2,325.7
1971/1/9,325.8
1971/1/16,325.9
1971/1/23,326.7
1971/1/30,326.6
1971/2/6,326.5
1971/2/13,326.4
1971/2/20,326.7
1971/2/27,327
1971/3/6,327.1
1971/3/13,327.3
1971/3/20,327
1971/3/27,327.4
1971/4/3,327.4
1971/4/10,327.1
1971/4/17,327.7
1971/4/24,328.5
1971/5/1,328.2
1971/5/8,329
1971/5/15,329.2
1971/5/22,328.9
1971/5/29,328.8
1971/6/5,328.5
1971/6/12,328.8
1971/6/19,328.1
1971/6/26,328.5
1971/7/3,327.9
1971/7/10,327.8
1971/7/17,327.5
1971/7/24,326.2
1971/7/31,326.7
1971/8/7,326.1
1971/8/14,325.6
1971/8/21,325.3
1971/8/28,324
1971/9/4,323.6
1971/9/11,323.5
1971/9/18,323.2
1971/9/25,323.3
1971/10/2,323.3
1971/10/9,322.9
1971/10/16,323.5
1971/10/23,323.6
1971/10/30,324.4
1971/11/6,324.3
1971/11/13,324.5
1971/11/20,325
1971/11/27,325.5
1971/12/4,325.3
1971/12/11,325.9
1971/12/18,326.2
1971/12/25,326.3
1972/1/1,326.6
1972/1/8,326.6
1972/1/15,326.6
1972/1/22,326.6
1972/1/29,327.2
1972/2/5,327.4
1972/2/12,327.9
1972/2/19,327.8
1972/2/26,327.4
1972/3/4,327.5
1972/3/11,327.1
1972/3/18,327.7
1972/3/25,328.6
1972/4/1,328.9
1972/4/8,329.4
1972/4/15,329.8
1972/4/22,330.1
1972/4/29,330
1972/5/6,330
1972/5/13,329.7
1972/5/20,330.1
1972/5/27,330.2
1972/6/3,329.7
1972/6/10,329.1
1972/6/17,329
1972/6/24,328.5
1972/7/1,328.6
1972/7/8,328.3
1972/7/15,327.7
1972/7/22,328.1
1972/7/29,327.5
1972/8/5,326.9
1972/8/12,326.6
1972/8/19,326.5
1972/8/26,325
1972/9/2,325.4
1972/9/9,325.7
1972/9/16,324.8
1972/9/23,324.2
1972/9/30,324.2
1972/10/7,324.8
1972/10/14,325.5
1972/10/21,325.1
1972/10/28,325.8
1972/11/4,326.3
1972/11/11,326.1
1972/11/18,326.4
1972/11/25,326.9
1972/12/2,326.9
1972/12/9,327.1
1972/12/16,327.6
1972/12/23,327.9
1972/12/30,328.2
1973/1/6,328.4
1973/1/13,328.4
1973/1/20,328.6
1973/1/27,328.8
1973/2/3,329.1
1973/2/10,329.5
1973/2/17,329.6
1973/2/24,329.7
1973/3/3,329.9
1973/3/10,330.1
1973/3/17,330.5
1973/3/24,330.8
1973/3/31,330.6
1973/4/7,331.2
1973/4/14,331.1
1973/4/21,331.9
1973/4/28,332.1
1973/5/5,332.2
1973/5/12,332.3
1973/5/19,332.6
1973/5/26,332.5
1973/6/2,332.2
1973/6/9,332.5
1973/6/16,332
1973/6/23,331.6
1973/6/30,331.4
1973/7/7,331.5
1973/7/14,331
1973/7/21,330
1973/7/28,330.1
1973/8/4,330
1973/8/11,329.5
1973/8/18,329.3
1973/8/25,328.5
1973/9/1,328.4
1973/9/8,327.6
1973/9/15,327.8
1973/9/22,327.1
1973/9/29,326.6
1973/10/6,327
1973/10/13,327.4
1973/10/20,327.4
1973/10/27,327.1
1973/11/3,327.5
1973/11/10,328
1973/11/17,328.2
1973/11/24,328.5
1973/12/1,329
1973/12/8,328.7
1973/12/15,328.6
1973/12/22,328.2
1973/12/29,328.7
1974/1/5,328.9
1974/1/12,329.2
1974/1/19,329.4
1974/1/26,329.8
1974/2/2,330.5
1974/2/9,330.8
1974/2/16,330.6
1974/2/23,330.6
1974/3/2,330.7
1974/3/9,331.2
1974/3/16,332.1
1974/3/23,332
1974/3/30,331.5
1974/4/6,332.4
1974/4/13,332.1
1974/4/20,332.9
1974/4/27,333.1
1974/5/4,332.9
1974/5/11,333
1974/5/18,333.2
1974/5/25,332.8
1974/6/1,332.9
1974/6/8,332
1974/6/15,332
1974/6/22,332.2
1974/6/29,331.7
1974/7/6,331.7
1974/7/13,331.2
1974/7/20,330.4
1974/7/27,331
1974/8/3,330
1974/8/10,329.9
1974/8/17,329.2
1974/8/24,328.9
1974/8/31,328.1
1974/9/7,328
1974/9/14,327.3
1974/9/21,326.9
1974/9/28,327.3
1974/10/5,327.3
1974/10/12,327
1974/10/19,327.5
1974/10/26,327.7
1974/11/2,327.9
1974/11/9,328
1974/11/16,328.8
1974/11/23,328.6
1974/11/30,328.7
1974/12/7,329.5
1974/12/14,329.7
1974/12/21,329.8
1974/12/28,329.7
1975/1/4,329.9
1975/1/11,329.8
1975/1/18,330.2
1975/1/25,331.1
1975/2/1,331.1
1975/2/8,331.4
1975/2/15,331
1975/2/22,331.7
1975/3/1,331.8
1975/3/8,331.6
1975/3/15,331.9
1975/3/22,332.2
1975/3/29,332.5
1975/4/5,333
1975/4/12,333.5
1975/4/19,333.5
1975/4/26,333.1
1975/5/3,333.9
1975/5/10,333.9
1975/5/17,333.7
1975/5/24,333.7
1975/5/31,334.1
1975/6/7,333.8
1975/6/14,333.3
1975/6/21,333.4
1975/6/28,333.1
1975/7/5,332.7
1975/7/12,332
1975/7/19,331
1975/7/26,331.5
1975/8/2,330.8
1975/8/9,330.7
1975/8/16,330.3
1975/8/23,329.3
1975/8/30,328.8
1975/9/6,329.4
1975/9/13,328.5
1975/9/20,328
1975/9/27,328.2
1975/10/4,328
1975/10/11,328
1975/10/18,328.5
1975/10/25,328.8
1975/11/1,329.3
1975/11/8,329.2
1975/11/15,329.1
1975/11/22,329.5
1975/11/29,330.1
1975/12/6,330.3
1975/12/13,330.5
1975/12/20,331.1
1975/12/27,331.2
1976/1/3,331.5
1976/1/10,331.5
1976/1/17,331.7
1976/1/24,331.8
1976/1/31,332.2
1976/2/7,332.1
1976/2/14,332.5
1976/2/21,333.2
1976/2/28,332.4
1976/3/6,332.8
1976/3/13,333.6
1976/3/20,333.1
1976/3/27,334.3
1976/4/3,334.7
1976/4/10,334.2
1976/4/17,334.4
1976/4/24,334.5
1976/5/1,334.7
1976/5/8,334.3
1976/5/15,334.6
1976/5/22,335.4
1976/5/29,334.8
1976/6/5,334.3
1976/6/12,334.6
1976/6/19,334.3
1976/6/26,
1976/7/3,333.6
1976/7/10,333.4
1976/7/17,332.8
1976/7/24,332.4
1976/7/31,332.1
1976/8/7,331.7
1976/8/14,330.6
1976/8/21,330.6
1976/8/28,330
1976/9/4,329.7
1976/9/11,330
1976/9/18,329.3
1976/9/25,328.4
1976/10/2,328.8
1976/10/9,329
1976/10/16,329.6
1976/10/23,329.1
1976/10/30,329
1976/11/6,329.8
1976/11/13,330.4
1976/11/20,330.5
1976/11/27,330.7
1976/12/4,331.1
1976/12/11,331.3
1976/12/18,331.9
1976/12/25,332.2
1977/1/1,332.5
1977/1/8,332.4
1977/1/15,333.1
1977/1/22,333.2
1977/1/29,333.2
1977/2/5,333.4
1977/2/12,333.3
1977/2/19,333.4
1977/2/26,333.6
1977/3/5,334.1
1977/3/12,334.6
1977/3/19,335.1
1977/3/26,335
1977/4/2,335.5
1977/4/9,335.9
1977/4/16,336
1977/4/23,336.1
1977/4/30,336.7
1977/5/7,336.8
1977/5/14,336.4
1977/5/21,336.8
1977/5/28,336.7
1977/6/4,336.4
1977/6/11,336.3
1977/6/18,336.1
1977/6/25,336
1977/7/2,335.5
1977/7/9,335.1
1977/7/16,335.1
1977/7/23,334.6
1977/7/30,333.7
1977/8/6,333
1977/8/13,332.9
1977/8/20,332.8
1977/8/27,332.8
1977/9/3,332.1
1977/9/10,331.2
1977/9/17,332.1
1977/9/24,330.9
1977/10/1,330.4
1977/10/8,330.9
1977/10/15,331.5
1977/10/22,331.5
1977/10/29,331.7
1977/11/5,332.1
1977/11/12,332
1977/11/19,332.5
1977/11/26,332.8
1977/12/3,333.2
1977/12/10,333.5
1977/12/17,333.8
1977/12/24,334.2
1977/12/31,334.6
1978/1/7,334.2
1978/1/14,334.6
1978/1/21,335.4
1978/1/28,335.9
1978/2/4,335
1978/2/11,335.1
1978/2/18,335.6
1978/2/25,335.7
1978/3/4,336.2
1978/3/11,336.1
1978/3/18,336.8
1978/3/25,337.3
1978/4/1,337
1978/4/8,337.9
1978/4/15,337.9
1978/4/22,337.4
1978/4/29,338
1978/5/6,338
1978/5/13,338.1
1978/5/20,337.8
1978/5/27,337.9
1978/6/3,338.4
1978/6/10,338.2
1978/6/17,337.8
1978/6/24,337.3
1978/7/1,337.6
1978/7/8,336.7
1978/7/15,336.7
1978/7/22,335.9
1978/7/29,335.6
1978/8/5,335.1
1978/8/12,334.8
1978/8/19,334.4
1978/8/26,334.3
1978/9/2,333.8
1978/9/9,332.8
1978/9/16,332.1
1978/9/23,332.3
1978/9/30,332.7
1978/10/7,332.1
1978/10/14,332.4
1978/10/21,333
1978/10/28,333.1
1978/11/4,333.5
1978/11/11,333.8
1978/11/18,333.8
1978/11/25,334.2
1978/12/2,334.5
1978/12/9,334.8
1978/12/16,335.1
1978/12/23,335.1
1978/12/30,335.3
1979/1/6,335.3
1979/1/13,335.9
1979/1/20,336.8
1979/1/27,336.9
1979/2/3,336.9
1979/2/10,336.5
1979/2/17,336.7
1979/2/24,336.7
1979/3/3,337.1
1979/3/10,337.7
1979/3/17,337.4
1979/3/24,339
1979/3/31,338.8
1979/4/7,338.1
1979/4/14,338.6
1979/4/21,339.2
1979/4/28,339.6
1979/5/5,339.3
1979/5/12,338.8
1979/5/19,339.8
1979/5/26,339.6
1979/6/2,339.9
1979/6/9,339.5
1979/6/16,338.9
1979/6/23,338.9
1979/6/30,339
1979/7/7,338.2
1979/7/14,337.8
1979/7/21,337.3
1979/7/28,336.8
1979/8/4,337
1979/8/11,336.5
1979/8/18,336.1
1979/8/25,334.5
1979/9/1,334.4
1979/9/8,334
1979/9/15,334.2
1979/9/22,333.2
1979/9/29,334.1
1979/10/6,334.1
1979/10/13,333.9
1979/10/20,333.7
1979/10/27,334.1
1979/11/3,334.7
1979/11/10,334.8
1979/11/17,335.5
1979/11/24,335.6
1979/12/1,335.9
1979/12/8,336.5
1979/12/15,336.7
1979/12/22,336.8
1979/12/29,337.4
1980/1/5,337.6
1980/1/12,337.4
1980/1/19,338.3
1980/1/26,338.4
1980/2/2,338
1980/2/9,338.1
1980/2/16,338.6
1980/2/23,338.2
1980/3/1,339.3
1980/3/8,339.5
1980/3/15,340
1980/3/22,340.5
1980/3/29,341
